USE,FILE NAME,USETEST,MOVE,AVAILABLE,DURATION,CHANNEL,NOTES,SCALE,FEELING,ROOM / DEVICE,STAGE,MOTION,LIGHT,COLOR,O,P,Q,R,S,T,U,V,w
Y,Lab00555893_V1-0009.mov,,MOVED,UPLOADED,0:33:20,BOB,nitrogeno en el piso,landscape,pressure,Nitrogen,Prep,Still,Light,-,,,,,,MILD,,,
Y,Lab00577526_V1-0011.mov,,MOVED,UPLOADED,0:27:19,ALICE,Cryo tank lable,graphic,pressure,Nitrogen,Prep,Panning,Light,-,,,,,,MILD,,,
Y,Lab00000238_V1-0017.mov,,MOVED,UPLOADED,0:05:00,ALICE,NV center poster / space exploration,landscape,pressure,Out of Love,Prep,Still,Light,-,,,,,Cine,MILD,,,
Y,Lab00417811_V1-0031.mov,,,UPLOADED,0:19:07,ALICE,humo de nitrogeno en manguera,landscape,pressure,Nitrogen,Prep,Still,Light,-,,,,,,MILD,,,
Y,Lab00426895_V1-0032.mov,,,UPLOADED,0:19:09,ALICE,humo de nitrogeno en manguera (tiene  varias tomas buenas dentro),landscape,pressure,Nitrogen,Prep,Still,Light,-,,,,,,MILD,,,
Y,Lab00430653_V1-0033.mov,,,UPLOADED,0:26:10,BOB,"explosion, nube en el cuarto",landscape,pressure,Nitrogen,Prep,Still,Light,-,,,,,,MILD,,,
N,Lab00431353_V1-0034.mov,,,UPLOADED,0:30:00,,"explosion, nube en el cuarto",landscape,pressure,Nitrogen,Prep,Still,Light,-,,,,,,MILD,,,
Y,Lab00005194_V1-0035.mov,,,UPLOADED,0:16:08,ALICE,stage temperature,clock,pressure,Bounderies,Prep,Still,Light,,,,,,,MILD,,,
Y,Lab00805303_V1-0019.mov,,,UPLOADED,0:05:00,BOB,NV center poster / space exploration,landscape,pressure,Out of Love,Prep,Still,Light,-,,,,,Cine,MILD,,,
Y,Lab01419833_V1-0018.mov,,,UPLOADED,0:05:00,ALICE,close up STICKER team Diamond,graphic,pressure,Out of Love,Prep,Still,Light,-,,,25,Kyu,Cine,MILD,,,
,TOTAL TIME,,,,7:10:49,,,,,,,,,,,,,,,,,,
Y,Lab00000000_V1-0036.mov,,,UPLOADED,0:04:11,BOB,close up de termometro,clock,stability,Bounderies,Prep,Still,Light,-,stabilized,,,,,MILD,,,
Y,Lab00000000_V1-0037.mov,,,UPLOADED,0:15:00,ALICE,close up de termometro,clock,stability,Bounderies,Prep,Focus,Light,-,stabilized,,,,,MILD,,,
Y,Lab01411848_V1-0038.mov,,,UPLOADED,0:10:00,BOB,stabilizer flow isolator,graphic,stability,Bounderies,Prep,Still,Light,-,,,,,,MILD,,,
Y,Lab00510326_V1-0039.mov,,,UPLOADED,0:10:00,ALICE,"digital clock on wall, temperature",clock,stability,Bounderies,Prep,Still,Light,-,,,,,,MILD,,,
Y,Lab00001160_V1-0040.mov,,,UPLOADED,0:10:00,BOB,canillas de hidrogeno y nitrogeno,clock,stability,Bounderies,Prep,Still,Light,,,,,,,MILD,,,
Y,Lab00001393_V1-0041.mov,,,UPLOADED,0:15:00,ALICE,canillas de hidrogeno y nitrogeno,clock,stability,Bounderies,Prep,Still,Dark,,,,,,,MILD,,,
Y,Lab00002023_V1-0042.mov,,,UPLOADED,0:10:00,ALICE,hydrogen + nitrogen ,graphic,stability,Bounderies,Prep,Still,Dark,,,,,,,MILD,,,
Y,Lab00801067_V1-0043.mov,,,UPLOADED,0:05:15,ALICE,close up NV,landscape,stability,Diamnd scale,Prep,Still,Light,,,,Cine,,,MILD,,,
Y,Lab00826169_V1-0044.mov,,,UPLOADED,0:10:00,ALICE,close up NV,landscape,stability,Diamnd scale,Prep,Still,Light,,,,Cine,,,MILD,,,
Y,Lab00808949_V1-0045.mov,,,UPLOADED,0:15:00,BOB,out of focus,landscape,stability,Diamnd scale,Prep,Focus,Light,,,,Cine,,,MILD,,,
